"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Oak Point at Kiawah Island Golf Resort","SC","Kiawah Island","Black","72.1","137","","","6821","5 3 4 5 4 4 3 5 3 4 3 5 4 4 3 4 5 4","7 17 15 5 1 3 11 9 13 10 14 8 2 6 18 12 4 16"
"Oak Point at Kiawah Island Golf Resort","SC","Kiawah Island","Gold","71","134","","","6535","5 3 4 5 4 4 3 5 3 4 3 5 4 4 3 4 5 4","7 17 15 5 1 3 11 9 13 10 14 8 2 6 18 12 4 16"
"Oak Point at Kiawah Island Golf Resort","SC","Kiawah Island","Silver","69.3","130","","","6110","5 3 4 5 4 4 3 5 3 4 3 5 4 4 3 4 5 4","7 17 15 5 1 3 11 9 13 10 14 8 2 6 18 12 4 16"
"Oak Point at Kiawah Island Golf Resort","SC","Kiawah Island","Blue","67.4","115","72.5","133","5620","5 3 4 5 4 4 3 5 3 4 3 5 4 4 3 4 5 4","7 17 15 5 1 3 11 9 13 10 14 8 2 6 18 12 4 16"
"Oak Point at Kiawah Island Golf Resort","SC","Kiawah Island","Blue/Red","65.3","111","70.2","125","5295","5 3 4 5 4 4 3 5 3 4 3 5 4 4 3 4 5 4","7 17 15 5 1 3 11 9 13 10 14 8 2 6 18 12 4 16"
"Oak Point at Kiawah Island Golf Resort","SC","Kiawah Island","Red","64.1","106","68.6","119","5009","5 3 4 5 4 4 3 5 3 4 3 5 4 4 3 4 5 4","7 17 15 5 1 3 11 9 13 10 14 8 2 6 18 12 4 16"
"Wachesaw East Golf Club","SC","Murrells Inlet","Green","74","146","","","6933","4 4 5 3 4 4 5 3 4 5 4 3 4 4 3 4 5 4","11 9 1 17 7 15 3 13 5 8 12 16 14 10 18 6 4 2"
"Wachesaw East Golf Club","SC","Murrells Inlet","Blue","72.5","143","","","6618","4 4 5 3 4 4 5 3 4 5 4 3 4 4 3 4 5 4","11 9 1 17 7 15 3 13 5 8 12 16 14 10 18 6 4 2"
"Wachesaw East Golf Club","SC","Murrells Inlet","White","71","140","76.9","145","6297","4 4 5 3 4 4 5 3 4 5 4 3 4 4 3 4 5 4","11 9 1 17 7 15 3 13 5 8 12 16 14 10 18 6 4 2"
"Wachesaw East Golf Club","SC","Murrells Inlet","Gold","68.6","128","74.2","134","5827","4 4 5 3 4 4 5 3 4 5 4 3 4 4 3 4 5 4","11 9 1 17 7 15 3 13 5 8 12 16 14 10 18 6 4 2"
"Wachesaw East Golf Club","SC","Murrells Inlet","Red","64.7","113","69.6","124","4995","4 4 5 3 4 4 5 3 4 5 4 3 4 4 3 4 5 4","11 9 1 17 7 15 3 13 5 8 12 16 14 10 18 6 4 2"
"Wachesaw East Golf Club","SC","Murrells Inlet","Black","61.6","106","65.1","110","4169","4 4 5 3 4 4 5 3 4 5 4 3 4 4 3 4 5 4","11 9 1 17 7 15 3 13 5 8 12 16 14 10 18 6 4 2"
"Harbour Town Golf Links at Sea Pines Resort","SC","Hilton Head Island","Heritage","75.5","146","","","7131","4 5 4 3 5 4 3 4 4 4 4 4 4 3 5 4 3 4","11 13 9 15 5 3 17 1 7 12 6 8 10 18 4 14 16 2"
"Harbour Town Golf Links at Sea Pines Resort","SC","Hilton Head Island","Blue","73.2","143","","","6642","4 5 4 3 5 4 3 4 4 4 4 4 4 3 5 4 3 4","11 13 9 15 5 3 17 1 7 12 6 8 10 18 4 14 16 2"
"Harbour Town Golf Links at Sea Pines Resort","SC","Hilton Head Island","Blue/White","71.8","139","78.3","147","6361","4 5 4 3 5 4 3 4 4 4 4 4 4 3 5 4 3 4","11 13 9 15 5 3 17 1 7 12 6 8 10 18 4 14 16 2"
"Harbour Town Golf Links at Sea Pines Resort","SC","Hilton Head Island","White","70.7","134","76.8","143","6103","4 5 4 3 5 4 3 4 4 4 4 4 4 3 5 4 3 4","11 13 9 15 5 3 17 1 7 12 6 8 10 18 4 14 16 2"
"Harbour Town Golf Links at Sea Pines Resort","SC","Hilton Head Island","White/Gold","69","126","74.8","140","5737","4 5 4 3 5 4 3 4 4 4 4 4 4 3 5 4 3 4","11 13 9 15 5 3 17 1 7 12 6 8 10 18 4 14 16 2"
"Harbour Town Golf Links at Sea Pines Resort","SC","Hilton Head Island","Gold","68.1","117","73.3","136","5478","4 5 4 3 5 4 3 4 4 4 4 4 4 3 5 4 3 4","11 13 9 15 5 3 17 1 7 12 6 8 10 18 4 14 16 2"
"Harbour Town Golf Links at Sea Pines Resort","SC","Hilton Head Island","Gold/Green","66.7","114","71.3","132","5164","4 5 4 3 5 4 3 4 4 4 4 4 4 3 5 4 3 4","11 13 9 15 5 3 17 1 7 12 6 8 10 18 4 14 16 2"
"Harbour Town Golf Links at Sea Pines Resort","SC","Hilton Head Island","Green","64.9","111","69.4","123","4760","4 5 4 3 5 4 3 4 4 4 4 4 4 3 5 4 3 4","11 13 9 15 5 3 17 1 7 12 6 8 10 18 4 14 16 2"
