"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Lawrenceburg Golf Country Club","TN","Lawrenceburg","Blue","67.4","120","","","5800","4 3 4 5 3 4 4 5 4 4 3 4 5 4 3 5 3 4","9 11 1 3 13 5 15 7 17 4 16 14 8 2 12 6 18 10"
"Lawrenceburg Golf Country Club","TN","Lawrenceburg","White","66.8","117","","","5653","4 3 4 5 3 4 4 5 4 4 3 4 5 4 3 5 3 4","9 11 1 3 13 5 15 7 17 4 16 14 8 2 12 6 18 10"
"Lawrenceburg Golf Country Club","TN","Lawrenceburg","Red","","","65.8","113","4574","4 3 4 5 3 4 4 5 4 4 3 4 5 4 3 5 3 4","9 11 1 3 13 5 15 7 17 4 16 14 8 2 12 6 18 10"
"Moccasin Bend Golf Club","TN","Chattanooga","Blue","70.4","118","","","6469","4 4 3 4 4 3 5 4 5 3 4 4 5 3 4 4 4 5","16 4 8 18 6 14 10 2 12 1 3 7 9 15 5 17 11 13"
"Moccasin Bend Golf Club","TN","Chattanooga","White","68.6","113","","","6086","4 4 3 4 4 3 5 4 5 3 4 4 5 3 4 4 4 5","16 4 8 18 6 14 10 2 12 1 3 7 9 15 5 17 11 13"
"Moccasin Bend Golf Club","TN","Chattanooga","Green","66.8","109","","","5710","4 4 3 4 4 3 5 4 5 3 4 4 5 3 4 4 4 5","16 4 8 18 6 14 10 2 12 1 3 7 9 15 5 17 11 13"
"Moccasin Bend Golf Club","TN","Chattanooga","Red","64.3","104","69.3","117","5230","4 4 3 4 4 3 5 4 5 3 4 4 5 3 4 4 4 5","16 4 8 18 6 14 10 2 12 1 3 7 9 15 5 17 11 13"
"Black Creek Club","TN","Chattanooga","Black","74.8","138","","","7204","4 4 3 5 4 5 3 4 4 4 3 4 4 5 4 4 3 5","5 3 13 15 7 17 9 11 1 16 10 4 2 18 14 6 8 12"
"Black Creek Club","TN","Chattanooga","Black/Blue","73.7","137","","","6971","4 4 3 5 4 5 3 4 4 4 3 4 4 5 4 4 3 5","5 3 13 15 7 17 9 11 1 16 10 4 2 18 14 6 8 12"
"Black Creek Club","TN","Chattanooga","Blue","72.1","133","","","6611","4 4 3 5 4 5 3 4 4 4 3 4 4 5 4 4 3 5","5 3 13 15 7 17 9 11 1 16 10 4 2 18 14 6 8 12"
"Black Creek Club","TN","Chattanooga","Blue/White","71.1","131","","","6426","4 4 3 5 4 5 3 4 4 4 3 4 4 5 4 4 3 5","5 3 13 15 7 17 9 11 1 16 10 4 2 18 14 6 8 12"
"Black Creek Club","TN","Chattanooga","White","69.9","128","75.6","135","6161","4 4 3 5 4 5 3 4 4 4 3 4 4 5 4 4 3 5","5 3 13 15 7 17 9 11 1 16 10 4 2 18 14 6 8 12"
"Black Creek Club","TN","Chattanooga","White/Gold","68.9","126","","","6008","4 4 3 5 4 5 3 4 4 4 3 4 4 5 4 4 3 5","5 3 13 15 7 17 9 11 1 16 10 4 2 18 14 6 8 12"
"Black Creek Club","TN","Chattanooga","Gold","67.6","121","73.6","133","5728","4 4 3 5 4 5 3 4 4 4 3 4 4 5 4 4 3 5","5 3 13 15 7 17 9 11 1 16 10 4 2 18 14 6 8 12"
"Black Creek Club","TN","Chattanooga","Green","65.1","115","70.1","126","5204","4 4 3 5 4 5 3 4 4 4 3 4 4 5 4 4 3 5","5 3 13 15 7 17 9 11 1 16 10 4 2 18 14 6 8 12"
"Black Creek Club","TN","Chattanooga","Green/Red","","","66.8","120","4861","4 4 3 5 4 5 3 4 4 4 3 4 4 5 4 4 3 5","5 3 13 15 7 17 9 11 1 16 10 4 2 18 14 6 8 12"
"Black Creek Club","TN","Chattanooga","Red","58.6","106","59.4","96","4181","4 4 3 5 4 5 3 4 4 4 3 4 4 5 4 4 3 5","5 3 13 15 7 17 9 11 1 16 10 4 2 18 14 6 8 12"
