"name","city","verified","reason"
"Colonial Country Club","TX","✓","OGA incomplete; OGA par<62 (exec)"
"River Place Country Club","Austin, TX","✓","OGA incomplete"
"Quarry Golf Club","TX","✓","OGA incomplete"
"Quicksand Golf Course","San Angelo, TX","✓","OGA incomplete"
"Sunset Country Club Golf Course","El Paso","","OGA incomplete; OGA rating<55 (9-hole/exec); delta 35 (likely wrong-course match); OGA par<62 (exec)"
"Max Starcke Park Golf Course","Seguin","","OGA incomplete"
"Naval Air Station Golf Course","TX","","OGA incomplete"
"Canadian Golf Club","TX","✓","OGA incomplete"
"Harvey Penick Golf Campus","Austin, TX","","OGA incomplete; OGA rating<55 (9-hole/exec); delta 31 (likely wrong-course match)"
"Stewart Peninsula Golf Course","TX","✓","OGA rating<55 (9-hole/exec); our rating<55 (9-hole); delta 33 (likely wrong-course match)"
"Corsicana Country Club","TX","✓","OGA incomplete"
"Conroe Country Club","Conroe, TX","✓","OGA incomplete; OGA rating<55 (9-hole/exec); our rating<55 (9-hole)"
"Crossing Creeks Country Club","Longview, TX","","OGA incomplete"
"King's Creek Country Club","Kemp, TX","✓","OGA incomplete"
"Pecos Golf Course","TX","✓","OGA incomplete"
"Pebble Creek Golf Course","TX","","OGA incomplete"
"Red Oak Valley Golf Club","TX","","OGA incomplete"
"Comanche Trail Golf Course","Amarillo, TX","✓","OGA incomplete"
"Sammy Baugh Golf Course","Snyder, TX","✓","OGA incomplete; OGA rating<55 (9-hole/exec); our rating<55 (9-hole)"
"Indian Shores Golf Course","Crosby","","OGA incomplete; OGA rating<55 (9-hole/exec); delta 40 (likely wrong-course match)"
"Casa Balnca Golf Course","Laredo, TX","","OGA incomplete"
"Austin Bayou Golf Course","Danbury, TX","✓","OGA incomplete; OGA rating<55 (9-hole/exec); our rating<55 (9-hole)"
"Augusta Pines Golf Course","Spring, TX","✓","OGA incomplete"
"Bosque Valley Golf Course","Meridian, TX","✓","OGA incomplete; OGA rating<55 (9-hole/exec); our rating<55 (9-hole)"
"Cedar Creek Golf Course","San Antonio","✓","OGA incomplete"
"The Club at Sonterra North Course","San Antonio, TX","✓","OGA incomplete"
"Shary Municipal Golf Course","Mission, TX","","OGA incomplete"
"Plantation Golf Club","Frisco, TX","✓","OGA incomplete"
"Panorama Golf Club","TX","✓","OGA incomplete; OGA rating<55 (9-hole/exec); delta 37 (likely wrong-course match)"
"Pecan Valley Golf Course","TX","✓","delta 11 (likely wrong-course match)"
"Junction Golf Club","Junction, TX","","OGA incomplete"
"Forest Creek Golf Club","TX","✓","OGA incomplete"
"Point Venture Golf Club","Leander, TX","✓","OGA incomplete; OGA rating<55 (9-hole/exec); our rating<55 (9-hole)"
"Resort Course at La Cantera","San Antonio, TX","✓","OGA incomplete"
"Hyatt Hill Country Golf Club","TX","✓","OGA incomplete"
"Jacksboro Country Club","Jacksboro","","OGA incomplete"
"Brownsville Golf Center","TX","","OGA par sum 86 (OGA data corrupt)"
"The Northwood Club","Dallas","✓","OGA rating 81.3 (OGA data corrupt)"
"Andrews County Golf Course","Andrews, TX","✓","OGA par sum 81 (OGA data corrupt)"
"San Saba River Golf Course","san saba, TX","✓","OGA par sum 77 (OGA data corrupt)"
"Riverside Hills Golf Club","San Angelo, TX","","OGA par sum 84 (OGA data corrupt)"
"The Champions Course at Weeks Park","Wichita Falls, TX","✓","OGA par sum 84 (OGA data corrupt)"
"Cleburne Golf Links","TX","✓","OGA par sum 83 (OGA data corrupt)"
"Houston Oaks Country Club - Oaks Course","TX","✓","OGA slope 1256 (OGA data corrupt)"
"Northridge Country Club","Texarkana, TX","✓","OGA par sum 83 (OGA data corrupt)"
"Quail Creek Golf Club","San Marcos, TX","","OGA par sum 76 (OGA data corrupt)"
"Pampa Country Club","Pampa, TX","✓","OGA par sum 76 (OGA data corrupt)"
"Shadow Hills Golf Course","Lubbock, TX","✓","OGA par sum 76 (OGA data corrupt)"
"Perryton Golf Club","Perryton, TX","✓","OGA par sum 86 (OGA data corrupt)"
"Desert Pines Golf Course","Fort Stockton, TX","✓","OGA par sum 83 (OGA data corrupt)"
"Horizon Golf Course","TX","✓","OGA par sum 80 (OGA data corrupt)"
"Bentwater","Montgomery, TX","","OGA par sum 83 (OGA data corrupt)"
"Hidden Creek Golf Course","Burleson, TX","✓","OGA par sum 81 (OGA data corrupt)"
"Clarendon Country Club","Howardwick, TX","","OGA par sum 86 (OGA data corrupt)"
"Phillips Municipal Course","Borger, TX","✓","OGA par sum 76 (OGA data corrupt)"
"Pleasanton Country Club","Pleasanton","✓","OGA par sum 84 (OGA data corrupt)"
"Oak Grove Golf Course","TX","✓","OGA par sum 76 (OGA data corrupt)"
"Avery Ranch Golf Club","TX","✓","OGA slope 236 (OGA data corrupt)"
"Greatwood Golf Club","Sugar Land, TX","✓","OGA slope 1308 (OGA data corrupt)"
"Summit Rock","TX","","OGA par sum 83 (OGA data corrupt)"
"Heron Lakes Golf Course","TX","","OGA par sum 80 (OGA data corrupt)"
"Pecan Course","TX","","OGA par sum 81 (OGA data corrupt)"
"Flintrock Falls Country Club","Austin, TX","✓","OGA par sum 85 (OGA data corrupt)"
"Double J Ranch Golf Club","Wimberley, TX","✓","OGA par sum 87 (OGA data corrupt)"
"The Hideout","Brownwood, TX","✓","OGA par sum 83 (OGA data corrupt)"
"Randolph Oaks","TX","✓","OGA par sum 76 (OGA data corrupt)"
"South Padre Island Golf Club","TX","✓","OGA par sum 82 (OGA data corrupt)"
"Oak Course","Burleson","","OGA par sum 83 (OGA data corrupt)"
