name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
Austin Bayou Golf Course,TX,Danbury,Blue,35,117,37.6,122,3166,4 4 3 5 3 5 3 4 5,2 5 9 1 8 4 7 6 3
Austin Bayou Golf Course,TX,Danbury,White/Blue,34.4,115,36.9,119,2886,4 4 3 5 3 5 3 4 5,2 5 9 1 8 4 7 6 3
Austin Bayou Golf Course,TX,Danbury,White,33.7,112,36.2,115,2886,4 4 3 5 3 5 3 4 5,2 5 9 1 8 4 7 6 3
Austin Bayou Golf Course,TX,Danbury,Red,32.4,103,34.6,109,2609,4 4 3 5 3 5 3 4 5,2 5 9 1 8 4 7 6 3
Bay City Country Club,TX,Bay City,Gold,35.9,136,,,3236,5 3 4 4 5 4 4 4 3,9 1 5 7 6 3 8 2 4
Bay City Country Club,TX,Bay City,Blue,35.2,129,,,3064,5 3 4 4 5 4 4 4 3,9 1 5 7 6 3 8 2 4
Bay City Country Club,TX,Bay City,White,34.6,126,37.1,134,2935,5 3 4 4 5 4 4 4 3,9 1 5 7 6 3 8 2 4
Bay City Country Club,TX,Bay City,Red,33.1,113,35.1,117,2575,5 3 4 4 5 4 4 4 3,9 1 5 7 6 3 8 2 4
Bosque Valley Golf Course,TX,Meridian,Blue,34.9,120,37.3,126,3054,4 5 3 5 4 3 5 4 3,9 7 5 2 1 3 6 4 8
Bosque Valley Golf Course,TX,Meridian,White,34.1,116,36.4,121,2912,4 5 3 5 4 3 5 4 3,9 7 5 2 1 3 6 4 8
Bosque Valley Golf Course,TX,Meridian,Red,32.7,110,34.7,114,2595,4 5 3 5 4 3 5 4 3,9 7 5 2 1 3 6 4 8
Bosque Valley Golf Course,TX,Meridian,Senior,32.6,109,34.5,113,2570,4 5 3 5 4 3 5 4 3,9 7 5 2 1 3 6 4 8
Decatur Golf Club,TX,Decatur,Blue,35.4,121,,,3021,4 3 5 3 4 5 3 5 4,4 7 2 8 6 1 9 3 5
Decatur Golf Club,TX,Decatur,White,33.1,111,33.6,113,2589,4 3 5 3 4 5 3 5 4,4 7 2 8 6 1 9 3 5
Decatur Golf Club,TX,Decatur,Red,,,33.5,109,2340,4 3 5 3 4 5 3 5 4,4 7 2 8 6 1 9 3 5
Eagle Pass Golf Course,TX,Eagle Pass,Blue,35.4,121,,,3080,3 4 4 5 5 4 4 3 4,4 2 1 7 5 3 6 9 8
Eagle Pass Golf Course,TX,Eagle Pass,White,32.6,103,,,2902,3 4 4 5 5 4 4 3 4,4 2 1 7 5 3 6 9 8
Eagle Pass Golf Course,TX,Eagle Pass,Red,,,33.1,105,2450,3 4 4 5 5 4 4 3 4,4 2 1 7 5 3 6 9 8
Frisch Auf Valley Country Club,TX,La Grange,White/Blue,35.3,117,38.1,128,3014,4 3 4 5 4 4 5 3 4,7 4 1 8 3 5 9 6 2
Frisch Auf Valley Country Club,TX,La Grange,Red/Black,33,111,35,117,2361,4 3 4 5 4 4 5 3 4,7 4 1 8 3 5 9 6 2
Goliad Golf Club,TX,Goliad,Mens Blue,35.1,124,,,3180,5 4 4 3 5 4 4 3 4,2 1 7 9 8 4 5 3 6
Goliad Golf Club,TX,Goliad,Ladies Blue,,,38.3,129,3180,5 4 4 3 5 4 4 3 4,2 1 7 9 8 4 5 3 6
Hallettsville Municipal Golf Course,TX,Hallettsville,Blue/Red,34,113,,,2959,4 4 4 4 3 4 3 4 5,6 5 4 1 9 8 2 7 3
Hallettsville Municipal Golf Course,TX,Hallettsville,Red/Yellow,33.2,111,,,2850,4 4 4 4 3 4 3 4 5,6 5 4 1 9 8 2 7 3
Hallettsville Municipal Golf Course,TX,Hallettsville,Yellow/White,32.3,107,,,2643,4 4 4 4 3 4 3 4 5,6 5 4 1 9 8 2 7 3
Hallettsville Municipal Golf Course,TX,Hallettsville,White,,,34,114,2476,4 4 4 4 3 4 3 4 5,6 5 4 1 9 8 2 7 3
Hancock Golf Course,TX,Amarillo,Blue,32.6,112,,,2633,4 4 4 4 3 5 4 3 4,6 5 2 7 8 1 3 9 4
Hancock Golf Course,TX,Amarillo,Red,,,32.1,110,2427,4 4 4 4 3 5 4 3 4,6 5 2 7 8 1 3 9 4
The Oaks Country Club,TX,Graham,Red/White,35.9,127,39.3,138,3275,4 5 4 5 3 4 4 3 4,5 3 6 4 9 1 2 8 7
The Oaks Country Club,TX,Graham,Black,33.9,119,36.8,131,2863,4 5 4 5 3 4 4 3 4,5 3 6 4 9 1 2 8 7
The Oaks Country Club,TX,Graham,Blue/Yellow,32.3,111,34.7,123,2624,4 5 4 5 3 4 4 3 4,5 3 6 4 9 1 2 8 7
Olney Country Club,TX,Olney,Black,33.4,110,35.9,117,3128,4 4 4 3 5 3 4 5 4,7 6 9 8 2 1 5 4 3
Olney Country Club,TX,Olney,Blue,32.1,103,34.1,109,2525,4 4 4 3 5 3 4 5 4,7 6 9 8 2 1 5 4 3
Point Venture Golf Club,TX,Point Venture,Black,34.6,124,,,3126,4 4 3 4 3 5 4 4 5,8 2 4 1 9 6 3 5 7
Point Venture Golf Club,TX,Point Venture,Blue/Black,34.2,123,,,3033,4 4 3 4 3 5 4 4 5,8 2 4 1 9 6 3 5 7
Point Venture Golf Club,TX,Point Venture,Blue,33.8,121,,,3033,4 4 3 4 3 5 4 4 5,8 2 4 1 9 6 3 5 7
Point Venture Golf Club,TX,Point Venture,White/Blue,33.8,121,,,2928,4 4 3 4 3 5 4 4 5,8 2 4 1 9 6 3 5 7
Point Venture Golf Club,TX,Point Venture,White,33.7,120,,,2928,4 4 3 4 3 5 4 4 5,8 2 4 1 9 6 3 5 7
Point Venture Golf Club,TX,Point Venture,Gold/White,33.4,112,,,2648,4 4 3 4 3 5 4 4 5,8 2 4 1 9 6 3 5 7
Point Venture Golf Club,TX,Point Venture,Gold,33,102,35.4,112,2648,4 4 3 4 3 5 4 4 5,8 2 4 1 9 6 3 5 7
Point Venture Golf Club,TX,Point Venture,Red/Gold,,,34.6,111,2396,4 4 3 4 3 5 4 4 5,8 2 4 1 9 6 3 5 7
Point Venture Golf Club,TX,Point Venture,Red,,,33.8,110,2396,4 4 3 4 3 5 4 4 5,8 2 4 1 9 6 3 5 7
Princedale Country Club,TX,,White/Blue,34.4,117,37.1,130,2871,4 4 4 4 4 3 4 5 4,5 1 3 6 7 4 8 9 2
Princedale Country Club,TX,,Gold/White,33.9,116,36.5,127,2746,4 4 4 4 4 3 4 5 4,5 1 3 6 7 4 8 9 2
Princedale Country Club,TX,,Red/Red,31.6,100,33.3,110,2233,4 4 4 4 4 3 4 5 4,5 1 3 6 7 4 8 9 2
Sammy Baugh Golf Course,TX,Rotan,Blue,35.1,124,,,3045,3 4 4 4 4 3 5 4 4,9 2 4 3 1 7 8 6 5
Sammy Baugh Golf Course,TX,Rotan,White,33.5,114,,,2812,3 4 4 4 4 3 5 4 4,9 2 4 3 1 7 8 6 5
Sammy Baugh Golf Course,TX,Rotan,Red,31.3,105,33.1,112,2301,3 4 4 4 4 3 5 4 4,9 2 4 3 1 7 8 6 5
Scurry County Golf Course,TX,Snyder,Mens,34.8,119,,,3043,5 4 3 4 3 4 5 5 3,3 6 5 2 8 1 7 4 9
Scurry County Golf Course,TX,Snyder,Ladies,,,34.4,116,2548,5 4 3 4 3 4 5 5 3,3 6 5 2 8 1 7 4 9
Sonora Golf Club,TX,Sonora,Blue,34.5,116,,,3225,5 3 4 4 4 5 4 4 3,3 4 9 6 8 2 5 7 1
Sonora Golf Club,TX,Sonora,Red,,,35.3,125,2786,5 3 4 4 4 5 4 4 3,3 4 9 6 8 2 5 7 1
Stewart Peninsula Golf Course,TX,The Colony,Back,33.1,108,,,2676,4 3 4 4 3 3 4 3 5,6 8 5 1 4 9 2 7 3
Stewart Peninsula Golf Course,TX,The Colony,Middle,33,104,,,2360,4 3 4 4 3 3 4 3 5,6 8 5 1 4 9 2 7 3
Stewart Peninsula Golf Course,TX,The Colony,Front,,,33.1,102,1982,4 3 4 4 3 3 4 3 5,6 8 5 1 4 9 2 7 3
Sundown Municipal Golf Course,TX,Sundown,Blue,35.6,119,,,3321,4 3 4 5 3 5 3 4 4,5 8 6 1 4 9 7 3 2
Sundown Municipal Golf Course,TX,Sundown,White,34.4,117,,,3116,4 3 4 5 3 5 3 4 4,5 8 6 1 4 9 7 3 2
Sundown Municipal Golf Course,TX,Sundown,Red,,,32.6,109,2588,4 3 4 5 3 5 3 4 4,5 8 6 1 4 9 7 3 2
Timberlinks Golf Course,TX,Denton,Blue,35.9,133,,,3043,5 4 4 4 3 3 4 3 5,3 7 5 2 9 8 6 4 1
Timberlinks Golf Course,TX,Denton,White,34.4,129,,,2802,5 4 4 4 3 3 4 3 5,3 7 5 2 9 8 6 4 1
Timberlinks Golf Course,TX,Denton,Gold,33.1,127,36.6,131,2604,5 4 4 4 3 3 4 3 5,3 7 5 2 9 8 6 4 1
Timberlinks Golf Course,TX,Denton,Red,,,35.6,125,2411,5 4 4 4 3 3 4 3 5,3 7 5 2 9 8 6 4 1
Tejas Golf Course,TX,Stephenville,Mens,34.3,113,,,,4 4 5 3 4 4 5 3 4,0 0 0 0 0 0 0 0 0
Tejas Golf Course,TX,Stephenville,Ladies,,,36.1,113,,4 4 5 3 4 4 5 3 4,0 0 0 0 0 0 0 0 0
Quanah Country Club,TX,Quanah,Mens,33.5,99,,,,4 4 4 5 3 4 3 4 3,7 2 5 8 1 9 3 6 4
Quanah Country Club,TX,Quanah,Ladies,,,31,94,,4 4 4 5 3 4 3 4 3,7 2 5 8 1 9 3 6 4
Lamesa Municipal Golf Course,TX,Lamesa,Mens,34.1,103,,,,4 3 4 4 5 4 3 4 4,5 6 2 7 9 3 4 1 8
Lamesa Municipal Golf Course,TX,Lamesa,Ladies,,,35.5,105,,4 3 4 4 5 4 3 4 4,5 6 2 7 9 3 4 1 8
