"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"The Bridges Golf Club","TX","Gunter","Black","77.7","139","","","7612","4 3 5 4 5 4 4 3 4 4 4 4 4 5 3 4 3 5","11 17 1 9 3 13 7 15 5 12 10 8 14 4 18 6 16 2"
"The Bridges Golf Club","TX","Gunter","Gold","75","134","","","7021","4 3 5 4 5 4 4 3 4 4 4 4 4 5 3 4 3 5","11 17 1 9 3 13 7 15 5 12 10 8 14 4 18 6 16 2"
"The Bridges Golf Club","TX","Gunter","Blue","72.5","128","","","6487","4 3 5 4 5 4 4 3 4 4 4 4 4 5 3 4 3 5","11 17 1 9 3 13 7 15 5 12 10 8 14 4 18 6 16 2"
"The Bridges Golf Club","TX","Gunter","White","70.5","120","75.7","140","5991","4 3 5 4 5 4 4 3 4 4 4 4 4 5 3 4 3 5","11 17 1 9 3 13 7 15 5 12 10 8 14 4 18 6 16 2"
"The Bridges Golf Club","TX","Gunter","Red","68.8","113","70.8","122","5193","4 3 5 4 5 4 4 3 4 4 4 4 4 5 3 4 3 5","11 17 1 9 3 13 7 15 5 12 10 8 14 4 18 6 16 2"
"Pleasanton Country Club","TX","Pleasanton","Blue","71.4","125","77.9","133","6569","4 3 4 5 4 3 4 4 5 4 3 5 5 4 3 4 4 4","12 8 14 16 4 18 2 10 6 1 9 17 3 15 13 7 11 5"
"Pleasanton Country Club","TX","Pleasanton","Red","69.8","121","76.1","126","6270","4 3 4 5 4 3 4 4 5 4 3 5 5 4 3 4 4 4","12 8 14 16 4 18 2 10 6 1 9 17 3 15 13 7 11 5"
"Pleasanton Country Club","TX","Pleasanton","Black","64.6","106","69.5","113","5198","4 3 4 5 4 3 4 4 5 4 3 5 5 4 3 4 4 4","12 8 14 16 4 18 2 10 6 1 9 17 3 15 13 7 11 5"
"Pleasanton Country Club","TX","Pleasanton","White","62.7","96","66.6","109","4696","4 3 4 5 4 3 4 4 5 4 3 5 5 4 3 4 4 4","12 8 14 16 4 18 2 10 6 1 9 17 3 15 13 7 11 5"
"Brenham Country Club","TX","Brenham","Green","72.4","135","78.9","141","6520","4 4 4 3 5 4 3 4 5 4 5 3 4 3 4 4 4 5","11 3 9 13 7 1 17 5 15 10 8 2 6 14 16 4 12 18"
"Brenham Country Club","TX","Brenham","White","70.2","124","76.4","130","6030","4 4 4 3 5 4 3 4 5 4 5 3 4 3 4 4 4 5","11 3 9 13 7 1 17 5 15 10 8 2 6 14 16 4 12 18"
"Brenham Country Club","TX","Brenham","Blue","68.2","116","73.3","127","5575","4 4 4 3 5 4 3 4 5 4 5 3 4 3 4 4 4 5","11 3 9 13 7 1 17 5 15 10 8 2 6 14 16 4 12 18"
"Brenham Country Club","TX","Brenham","Gold","63.6","103","68.1","116","4723","4 4 4 3 5 4 3 4 5 4 5 3 4 3 4 4 4 5","11 3 9 13 7 1 17 5 15 10 8 2 6 14 16 4 12 18"
"Miramont Country Club","TX","Bryan","Gold","75","143","81.7","149","7174","5 3 4 3 5 3 4 4 5 5 4 3 4 4 3 4 4 5","11 13 5 15 9 17 1 3 7 6 12 10 4 14 18 2 16 8"
"Miramont Country Club","TX","Bryan","Gold/Blue","73.9","141","80.4","147","6916","5 3 4 3 5 3 4 4 5 5 4 3 4 4 3 4 4 5","11 13 5 15 9 17 1 3 7 6 12 10 4 14 18 2 16 8"
"Miramont Country Club","TX","Bryan","Blue","72.8","139","78.9","143","6675","5 3 4 3 5 3 4 4 5 5 4 3 4 4 3 4 4 5","11 13 5 15 9 17 1 3 7 6 12 10 4 14 18 2 16 8"
"Miramont Country Club","TX","Bryan","Blue/White","70.7","137","77.1","142","6335","5 3 4 3 5 3 4 4 5 5 4 3 4 4 3 4 4 5","11 13 5 15 9 17 1 3 7 6 12 10 4 14 18 2 16 8"
"Miramont Country Club","TX","Bryan","White","69.2","135","75.4","139","6042","5 3 4 3 5 3 4 4 5 5 4 3 4 4 3 4 4 5","11 13 5 15 9 17 1 3 7 6 12 10 4 14 18 2 16 8"
"Miramont Country Club","TX","Bryan","White/Red","66.9","129","72.8","132","5563","5 3 4 3 5 3 4 4 5 5 4 3 4 4 3 4 4 5","11 13 5 15 9 17 1 3 7 6 12 10 4 14 18 2 16 8"
"Miramont Country Club","TX","Bryan","Red","66","124","71","128","5238","5 3 4 3 5 3 4 4 5 5 4 3 4 4 3 4 4 5","11 13 5 15 9 17 1 3 7 6 12 10 4 14 18 2 16 8"
"Brentwood Country Club","TX","Beaumont","Gold","73.8","138","","","6689","4 3 4 5 4 4 4 3 4 5 3 4 5 4 5 3 4 4","13 17 3 1 9 7 5 15 11 4 16 10 6 12 2 18 14 8"
"Brentwood Country Club","TX","Beaumont","Blue","69.6","127","","","6119","4 3 4 5 4 4 4 3 4 5 3 4 5 4 5 3 4 4","13 17 3 1 9 7 5 15 11 4 16 10 6 12 2 18 14 8"
"Brentwood Country Club","TX","Beaumont","Green","65.5","117","69.1","120","5695","4 3 4 5 4 4 4 3 4 5 3 4 5 4 5 3 4 4","13 17 3 1 9 7 5 15 11 4 16 10 6 12 2 18 14 8"
"Brentwood Country Club","TX","Beaumont","Red","61.9","109","64.5","114","5356","4 3 4 5 4 4 4 3 4 5 3 4 5 4 5 3 4 4","13 17 3 1 9 7 5 15 11 4 16 10 6 12 2 18 14 8"
"Royal Oaks Country Club (Houston)","TX","Houston","Medal","74.7","139","82","146","7007","4 4 4 5 4 3 4 3 5 4 4 5 3 4 4 3 5 4","9 7 5 3 11 15 13 17 1 8 12 2 18 14 4 16 6 10"
"Royal Oaks Country Club (Houston)","TX","Houston","Championship","73.4","136","80.5","143","6733","4 4 4 5 4 3 4 3 5 4 4 5 3 4 4 3 5 4","9 7 5 3 11 15 13 17 1 8 12 2 18 14 4 16 6 10"
"Royal Oaks Country Club (Houston)","TX","Houston","MGA","72.6","135","79.6","141","6584","4 4 4 5 4 3 4 3 5 4 4 5 3 4 4 3 5 4","9 7 5 3 11 15 13 17 1 8 12 2 18 14 4 16 6 10"
"Royal Oaks Country Club (Houston)","TX","Houston","Tournament","71.7","131","78.5","139","6384","4 4 4 5 4 3 4 3 5 4 4 5 3 4 4 3 5 4","9 7 5 3 11 15 13 17 1 8 12 2 18 14 4 16 6 10"
"Royal Oaks Country Club (Houston)","TX","Houston","MGA Senior","71.1","130","77.7","138","6239","4 4 4 5 4 3 4 3 5 4 4 5 3 4 4 3 5 4","9 7 5 3 11 15 13 17 1 8 12 2 18 14 4 16 6 10"
"Royal Oaks Country Club (Houston)","TX","Houston","Regular","70.3","128","76.5","137","6027","4 4 4 5 4 3 4 3 5 4 4 5 3 4 4 3 5 4","9 7 5 3 11 15 13 17 1 8 12 2 18 14 4 16 6 10"
"Royal Oaks Country Club (Houston)","TX","Houston","Red","67.1","121","72.8","129","5368","4 4 4 5 4 3 4 3 5 4 4 5 3 4 4 3 5 4","9 7 5 3 11 15 13 17 1 8 12 2 18 14 4 16 6 10"
"Royal Oaks Country Club (Houston)","TX","Houston","WGA","65.7","119","70.7","126","5067","4 4 4 5 4 3 4 3 5 4 4 5 3 4 4 3 5 4","9 7 5 3 11 15 13 17 1 8 12 2 18 14 4 16 6 10"
"Royal Oaks Country Club (Houston)","TX","Houston","Purple","63.9","118","68.8","122","4729","4 4 4 5 4 3 4 3 5 4 4 5 3 4 4 3 5 4","9 7 5 3 11 15 13 17 1 8 12 2 18 14 4 16 6 10"
"Waterchase Golf Club","TX","Fort Worth","Black","75.8","140","","","7159","4 3 5 4 4 5 3 4 4 5 4 3 5 3 4 3 4 5","11 15 7 13 1 3 17 5 9 4 10 16 6 14 12 18 2 8"
"Waterchase Golf Club","TX","Fort Worth","Gold","74.5","137","","","6882","4 3 5 4 4 5 3 4 4 5 4 3 5 3 4 3 4 5","11 15 7 13 1 3 17 5 9 4 10 16 6 14 12 18 2 8"
"Waterchase Golf Club","TX","Fort Worth","Blue","72.3","132","78.5","142","6408","4 3 5 4 4 5 3 4 4 5 4 3 5 3 4 3 4 5","11 15 7 13 1 3 17 5 9 4 10 16 6 14 12 18 2 8"
"Waterchase Golf Club","TX","Fort Worth","White","69.6","126","75.5","139","5868","4 3 5 4 4 5 3 4 4 5 4 3 5 3 4 3 4 5","11 15 7 13 1 3 17 5 9 4 10 16 6 14 12 18 2 8"
"Waterchase Golf Club","TX","Fort Worth","Green","66.8","122","72.1","129","5298","4 3 5 4 4 5 3 4 4 5 4 3 5 3 4 3 4 5","11 15 7 13 1 3 17 5 9 4 10 16 6 14 12 18 2 8"
"Waterchase Golf Club","TX","Fort Worth","Red","64.5","118","69.1","123","4775","4 3 5 4 4 5 3 4 4 5 4 3 5 3 4 3 4 5","11 15 7 13 1 3 17 5 9 4 10 16 6 14 12 18 2 8"
"Royal Oaks Country Club (Dallas)","TX","Dallas","Oaks","76","142","84","154","7219","4 4 4 3 5 4 4 3 4 4 4 3 4 5 4 3 4 5","10 8 6 16 14 4 2 18 12 3 7 15 1 9 13 17 5 11"
"Royal Oaks Country Club (Dallas)","TX","Dallas","Oaks/I","74.5","139","82.2","152","6893","4 4 4 3 5 4 4 3 4 4 4 3 4 5 4 3 4 5","10 8 6 16 14 4 2 18 12 3 7 15 1 9 13 17 5 11"
"Royal Oaks Country Club (Dallas)","TX","Dallas","I","73","137","80.5","147","6573","4 4 4 3 5 4 4 3 4 4 4 3 4 5 4 3 4 5","10 8 6 16 14 4 2 18 12 3 7 15 1 9 13 17 5 11"
"Royal Oaks Country Club (Dallas)","TX","Dallas","I/II","71.7","131","78.8","144","6436","4 4 4 3 5 4 4 3 4 4 4 3 4 5 4 3 4 5","10 8 6 16 14 4 2 18 12 3 7 15 1 9 13 17 5 11"
"Royal Oaks Country Club (Dallas)","TX","Dallas","II","70.9","128","77.7","141","6073","4 4 4 3 5 4 4 3 4 4 4 3 4 5 4 3 4 5","10 8 6 16 14 4 2 18 12 3 7 15 1 9 13 17 5 11"
"Royal Oaks Country Club (Dallas)","TX","Dallas","II/III","69.7","127","76","138","5770","4 4 4 3 5 4 4 3 4 4 4 3 4 5 4 3 4 5","10 8 6 16 14 4 2 18 12 3 7 15 1 9 13 17 5 11"
"Royal Oaks Country Club (Dallas)","TX","Dallas","III","68.4","120","74","134","5413","4 4 4 3 5 4 4 3 4 4 4 3 4 5 4 3 4 5","10 8 6 16 14 4 2 18 12 3 7 15 1 9 13 17 5 11"
"Royal Oaks Country Club (Dallas)","TX","Dallas","IV","66","117","70.6","125","4899","4 4 4 3 5 4 4 3 4 4 4 3 4 5 4 3 4 5","10 8 6 16 14 4 2 18 12 3 7 15 1 9 13 17 5 11"
