"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Texas Rangers Golf Club","TX","Arlington","Black","73.7","132","","","7010","4 3 4 5 4 3 4 4 5 5 4 3 4 4 3 4 4 5","17 15 1 7 5 13 9 3 11 16 8 14 10 4 18 12 6 2"
"Texas Rangers Golf Club","TX","Arlington","Gold","71.2","127","","","6487","4 3 4 5 4 3 4 4 5 5 4 3 4 4 3 4 4 5","17 15 1 7 5 13 9 3 11 16 8 14 10 4 18 12 6 2"
"Texas Rangers Golf Club","TX","Arlington","Silver","68.7","122","","","6006","4 3 4 5 4 3 4 4 5 5 4 3 4 4 3 4 4 5","17 15 1 7 5 13 9 3 11 16 8 14 10 4 18 12 6 2"
"Texas Rangers Golf Club","TX","Arlington","Bronze","63.6","112","68.1","115","4874","4 3 4 5 4 3 4 4 5 5 4 3 4 4 3 4 4 5","17 15 1 7 5 13 9 3 11 16 8 14 10 4 18 12 6 2"
"Texas Rangers Golf Club","TX","Arlington","Sliver","","","73.8","126","6006","4 3 4 5 4 3 4 4 5 5 4 3 4 4 3 4 4 5","17 15 1 7 5 13 9 3 11 16 8 14 10 4 18 12 6 2"
"The Golf Club of Dallas","TX","Dallas","Tournament","76","144","","","7425","4 4 4 5 4 4 3 5 3 4 4 4 5 3 5 3 4 4","17 11 9 7 1 3 15 5 13 16 10 18 8 14 6 12 2 4"
"The Golf Club of Dallas","TX","Dallas","Member","71.7","137","","","6569","4 4 4 5 4 4 3 5 3 4 4 4 5 3 5 3 4 4","17 11 9 7 1 3 15 5 13 16 10 18 8 14 6 12 2 4"
"The Golf Club of Dallas","TX","Dallas","Forward","66.6","120","71.3","125","5371","4 4 4 5 4 4 3 5 3 4 4 4 5 3 5 3 4 4","17 11 9 7 1 3 15 5 13 16 10 18 8 14 6 12 2 4"
"Texas Star Golf Course","TX","Euless","Texas","74.1","136","","","6936","4 4 3 4 4 4 5 3 4 5 4 4 4 3 4 3 4 5","12 10 18 6 4 14 16 8 2 11 17 3 1 7 9 15 5 13"
"Texas Star Golf Course","TX","Euless","Blue","72.2","126","","","6529","4 4 3 4 4 4 5 3 4 5 4 4 4 3 4 3 4 5","12 10 18 6 4 14 16 8 2 11 17 3 1 7 9 15 5 13"
"Texas Star Golf Course","TX","Euless","White","70.1","121","","","6022","4 4 3 4 4 4 5 3 4 5 4 4 4 3 4 3 4 5","12 10 18 6 4 14 16 8 2 11 17 3 1 7 9 15 5 13"
"Texas Star Golf Course","TX","Euless","Red","","","69","120","4962","4 4 3 4 4 4 5 3 4 5 4 4 4 3 4 3 4 5","12 10 18 6 4 14 16 8 2 11 17 3 1 7 9 15 5 13"
"Diamond Oaks Country Club","TX","Fort Worth, TX","Championship/Black","73.8","129","","","6850","5 5 5 5 5 5 4 4 4 4 4 4 4 3 3 3 3 4","9 13 5 11 7 1 17 15 3 8 4 16 2 18 10 14 6 12"
"Diamond Oaks Country Club","TX","Fort Worth, TX","Back/Blue","71.7","120","","","6400","5 5 5 5 5 5 4 4 4 4 4 4 4 3 3 3 3 4","9 13 5 11 7 1 17 15 3 8 4 16 2 18 10 14 6 12"
"Diamond Oaks Country Club","TX","Fort Worth, TX","Middle/White","69.3","118","","","5920","5 5 5 5 5 5 4 4 4 4 4 4 4 3 3 3 3 4","9 13 5 11 7 1 17 15 3 8 4 16 2 18 10 14 6 12"
"Diamond Oaks Country Club","TX","Fort Worth, TX","Green","67","113","","","5429","5 5 5 5 5 5 4 4 4 4 4 4 4 3 3 3 3 4","9 13 5 11 7 1 17 15 3 8 4 16 2 18 10 14 6 12"
"Diamond Oaks Country Club","TX","Fort Worth, TX","Forward/Red","","","70.1","117","5013","5 5 5 5 5 5 4 4 4 4 4 4 4 3 3 3 3 4","9 13 5 11 7 1 17 15 3 8 4 16 2 18 10 14 6 12"
"Riverchase Golf Course","TX","Coppell","Back","72.5","133","","","6593","4 5 4 3 4 4 3 4 4 5 4 3 5 4 4 4 3 4","6 2 12 18 4 10 14 8 16 5 11 15 13 1 7 9 17 3"
"Riverchase Golf Course","TX","Coppell","Middle","69.8","127","","","6031","4 5 4 3 4 4 3 4 4 5 4 3 5 4 4 4 3 4","6 2 12 18 4 10 14 8 16 5 11 15 13 1 7 9 17 3"
