name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
Balcones Country Club,TX,TX,Black,70.2,118,,,6185,4 4 4 5 3 4 3 5 3 4 4 5 4 4 3 4 3 4,16 4 12 14 10 2 8 6 18 13 1 11 7 5 15 9 17 3
Balcones Country Club,TX,TX,Blue,68.9,117,73.9,126,5894,4 4 4 5 3 4 3 5 3 4 4 5 4 4 3 4 3 4,16 4 12 14 10 2 8 6 18 13 1 11 7 5 15 9 17 3
Balcones Country Club,TX,TX,White,67.1,113,71.7,123,5531,4 4 4 5 3 4 3 5 3 4 4 5 4 4 3 4 3 4,16 4 12 14 10 2 8 6 18 13 1 11 7 5 15 9 17 3
Balcones Country Club,TX,TX,Green,64,106,67.8,113,4850,4 4 4 5 3 4 3 5 3 4 4 5 4 4 3 4 3 4,16 4 12 14 10 2 8 6 18 13 1 11 7 5 15 9 17 3
Dallas National Golf Club,TX,TX,Texas,75.9,145,,,7372,4 5 3 5 3 4 4 4 4 5 4 4 3 4 4 4 3 5,14 6 18 10 12 2 16 4 8 9 7 5 17 15 3 1 13 11
Dallas National Golf Club,TX,TX,I,73.5,140,,,6862,4 5 3 5 3 4 4 4 4 5 4 4 3 4 4 4 3 5,14 6 18 10 12 2 16 4 8 9 7 5 17 15 3 1 13 11
Dallas National Golf Club,TX,TX,II,71.6,133,,,6514,4 5 3 5 3 4 4 4 4 5 4 4 3 4 4 4 3 5,14 6 18 10 12 2 16 4 8 9 7 5 17 15 3 1 13 11
Dallas National Golf Club,TX,TX,III,69.3,129,,,6045,4 5 3 5 3 4 4 4 4 5 4 4 3 4 4 4 3 5,14 6 18 10 12 2 16 4 8 9 7 5 17 15 3 1 13 11
Double J Ranch Golf Club,TX,Wimberley,Black,71.1,118,,,6538,,
Double J Ranch Golf Club,TX,Wimberley,Blue,68,113,73.5,124,5959,,
Double J Ranch Golf Club,TX,Wimberley,White,66.3,107,,,5272,,
Double J Ranch Golf Club,TX,Wimberley,Red,64.1,103,,,4769,,
Flintrock Falls Country Club,TX,Austin,Black,74.8,145,,,7051,,
Flintrock Falls Country Club,TX,Austin,Gold,73.3,142,,,6771,,
Flintrock Falls Country Club,TX,Austin,Blue,72.1,138,,,6419,,
Great Hills Golf Club,TX,TX,Blue,72.7,138,,,6637,5 3 4 4 4 4 3 4 4 3 5 3 4 4 5 4 3 5,6 18 14 2 10 16 12 4 8 17 3 15 7 9 1 5 13 11
Great Hills Golf Club,TX,TX,Blue/White Combo,71.6,137,,,6467,5 3 4 4 4 4 3 4 4 3 5 3 4 4 5 4 3 5,6 18 14 2 10 16 12 4 8 17 3 15 7 9 1 5 13 11
