"name","city","state","reason"
"Republic Golf Club","San Antonio","TX","closed"
"Firewheel-Bridges (Tradition-Champ)","Garland","TX","combo-dup"
"Firewheel-Bridges(Masters-Trad)","Garland","TX","combo-dup"
"Bridges — Champion / Tradition","Garland","TX","combo-dup"
"Firewheel Golf Park","Garland","TX","duplicate"
"Lakeside Village Golf Club","Rockwall","TX","9-hole"
"Firewheel-Bridges(Champ-Masters)","Garland","TX","combo-dup"
"Tejas Golf Course","Stephenville","TX","9-hole"
"Houston Oaks Country Club - Family Nine","Hockley","TX","9-hole"
"Island Golf Course","Port Isabel","TX","par3-short"
"Quanah Country Club","Quanah","TX","9-hole"
"Golf Ranch Richardson","Richardson","TX","9-hole"
"Santa Fe Golf Course","San Angelo","TX","9-hole"
"Mountain Creek Golf Club","Robert Lee","TX","9-hole"
"Oak Valley Golf Course","Helotes","TX","9-hole"
"Lamesa Municipal Golf Course","Lamesa","TX","9-hole"
"McLean Country Club","McLean","TX","9-hole"
"Panhandle Country Club","Panhandle","TX","9-hole"
"Preston West Golf Course","Amarillo","TX","par3-short"
"Los Ebanos Golf Course","Zapata","TX","9-hole"
"Cottonwood Creek Country Club","Harlingen","TX","9-hole"
"Pedernales Golf Club","Spicewood","TX","9-hole"
"Palmer Course - King nine","Spring","TX","combo-dup"
"Palmer Course - Deacon nine","Spring","TX","combo-dup"
