"name","city","verified","reason"
"Williamsburg Golf Club","Williamsburg, VA","","OGA data failed sanity gate"
"Broad Bay Country Club","Virginia Beach, VA","","OGA data failed sanity gate"
"Forest Greens Golf Course","VA","","OGA data failed sanity gate"
"Augustine Golf Course","VA","","OGA data failed sanity gate"
"Suffolk Golf Course","VA","","OGA data failed sanity gate"
"International Country Club","VA","","OGA data failed sanity gate"
"The Manor Golf Club","VA","","OGA data failed sanity gate"
"Trump National Golf Club","VA","","OGA data failed sanity gate"
"The Country Club of Virginia - James River","VA","","OGA data failed sanity gate"
"Holston Hills Community Golf Course","Marion, VA","","OGA data failed sanity gate"
"Eagle Haven Golf Course","VA","","OGA data failed sanity gate"
"Halifax Country Club","Halifax, VA","","OGA data failed sanity gate"
"Massanutten Resort Golf Club","VA","","OGA data failed sanity gate"
"The Cascades","Hot Springs, VA","","OGA data failed sanity gate"
"Cedar Hill Country Club","VA","","OGA data failed sanity gate"
"Waterfront Country Club","Moneta, VA","","OGA data failed sanity gate"
"Danville Golf Club","Danville, VA","","OGA data failed sanity gate"
"Tuscarora Country Club","Danville, VA","","OGA data failed sanity gate"
"Country Club of Culpeper","VA","","OGA data failed sanity gate"
"Caverns Country Club Resort","VA","","OGA data failed sanity gate"
"Hobbs Hole Golf Course","Tappahannock, VA","","OGA data failed sanity gate"
"Glenmore Country Club","VA","","OGA data failed sanity gate"
"Kempsville Greens Golf Course","Virginia Beach, VA","","OGA data failed sanity gate"
"Stumpy Lake Golf Course","Virginia Beach, VA","","OGA data failed sanity gate"
"Indian Creek Yacht & Country Club","Kilmarnock, VA","","OGA data failed sanity gate"
