id,name,state,city
virginia-tech-golf-course,Virginia Tech Golf Course,VA,Blacksburg
algonkian-regional-park-golf-course,Algonkian Regional Park Golf Course,VA,Sterling
army-navy-country-club,Army Navy Country Club,VA,Arlington
four-winds-golf-course,Four Winds Golf Course,VA,Rappahannock Academy
meadowbrook-country-club-5,Meadowbrook Country Club,VA,Richmond
1757-golf-club,1757 Golf Club,VA,Dulles
roanoke-country-club,Roanoke Country Club,VA,Roanoke
the-woodlands-golf-course,The Woodlands Golf Course,VA,Hampton
the-hamptons-golf-course,The Hamptons Golf Course,VA,Hampton
oakmont-golf-course,Oakmont Golf Course,VA,Oakton
forest-greens-golf-course,Forest Greens Golf Course,VA,Triangle
augustine-golf-course,Augustine Golf Course,VA,Stafford
pohick-bay-golf-course,Pohick Bay Golf Course,VA,Lorton
jefferson-district-golf-course,Jefferson District Golf Course,VA,Falls Church
bristow-manor-golf-club,Bristow Manor Golf Club,VA,Bristow
bull-run-golf-course,Bull Run Golf Course,VA,Haymarket
south-riding-golf-course,South Riding Golf Course,VA,Chantilly
poplar-forest-golf-course,Poplar Forest Golf Course,VA,Forest
westwood-country-club-4,Westwood Country Club,VA,Vienna
pleasant-valley-golfers-club,Pleasant Valley Golfers' Club,VA,Chantilly
suffolk-golf-course,Suffolk Golf Course,VA,Suffolk
spotswood-country-club,Spotswood Country Club,VA,Harrisonburg
longwood-golf-course,Longwood Golf Course,VA,Farmville
old-hickory-golf-club-4,Old Hickory Golf Club,VA,Woodbridge
westpark-golf-club,Westpark Golf Club,VA,Leesburg
creighton-farms-golf-club,Creighton Farms Golf Club,VA,Aldie
international-country-club,International Country Club,VA,Fairfax
spring-creek-golf-club-2,Spring Creek Golf Club,VA,Gordonsville
oakmont-driving-range,Oakmont Driving Range,VA,Oakton
the-manor-golf-club,The Manor Golf Club,VA,Farmville
trump-national-golf-club,Trump National Golf Club,VA,Sterling
rock-harbor-golf-courses-boulder-course-rock-cou,Rock Harbor Golf Courses (Boulder Course & Rock Course),VA,Winchester
willow-oaks-country-club,Willow Oaks Country Club,VA,Richmond
kingsmill-resort-the-woods-course,Kingsmill Resort: The Woods Course,VA,Williamsburg
newport-news-golf-club-at-deer-run,Newport News Golf Club at Deer Run,VA,Yorktown
james-river-country-club,James River Country Club,VA,Newport News
farmville-municipal-golf-course,Farmville Municipal Golf Course,VA,Farmville
the-country-club-of-virginia-james-river,The Country Club of Virginia - James River,VA,Richmond
wytheville-golf-club,Wytheville Golf Club,VA,Wytheville
bide-a-wee-golf-course,Bide-A-Wee Golf Course,VA,Portsmouth
gloucester-golf-club,Gloucester Golf Club,VA,Gloucester
golden-horseshoe-golf-club-green-course,Golden Horseshoe Golf Club Green Course,VA,Williamsburg
kiskiack-golf-course,Kiskiack Golf Course,VA,Williamsburg
peninsula-golf-club-2,Peninsula Golf Club,VA,Hampton
red-wing-lake-golf-course,Red Wing Lake Golf Course,VA,Virginia Beach
glen-oak-golf-club,Glen Oak Golf Club,VA,Danville
goodyear-golf-club,Goodyear Golf Club,VA,Danville
topgolf,Topgolf,VA,Ashburn
packsaddle-ridge-golf-club,Packsaddle Ridge Golf Club,VA,Keezletown
london-downs-golf-club,London Downs Golf Club,VA,Forest
colonial-hills-golf-club,Colonial Hills Golf Club,VA,Forest
stoneleigh-golf-and-country-club,Stoneleigh Golf and Country Club,VA,Round Hill
jmu-practice-golf,JMU Practice Golf,VA,Harrisonburg
fincastle-golf-course,Fincastle Golf Course,VA,Bluefield
the-hollows-golf-club,The Hollows Golf Club,VA,Montpelier
viniterra-golf-course,Viniterra Golf Course,VA,New Kent
5-hole-golf-course,5 Hole Golf Course,VA,Norfolk
eagle-haven-golf-course,Eagle Haven Golf Course,VA,Norfolk
boonsboro-country-club,Boonsboro Country Club,VA,Lynchburg
the-gauntlet-golf-club,The Gauntlet Golf Club,VA,Fredericksburg
massanutten-resort-golf-club,Massanutten Resort Golf Club,VA,Massanutten
ballyhack-golf-club,Ballyhack Golf Club,VA,Roanoke
the-crossings-golf-club-2,The Crossings Golf Club,VA,Glen Allen
queenfield-golf-club,Queenfield Golf Club,VA,Manquin
eastern-shore-yacht-and-country-club-golf-course,Eastern Shore Yacht and Country Club Golf Course,VA,Melfa
old-course,Old Course,VA,Hot Springs
the-foundry-golf-club,The Foundry Golf Club,VA,Powhatan
south-riding-golf-club,South Riding Golf CLub,VA,Chantilly
cedar-hill-country-club,Cedar Hill Country Club,VA,Jonesville
mecklenburg-country-club,Mecklenburg Country Club,VA,Chase City
belmont-golf-course-recreation-center,Belmont Golf Course & Recreation Center,VA,Richmond
hanover-golf-club,Hanover Golf Club,VA,Ashland
lunenburg-country-club,Lunenburg Country Club,VA,Kenbridge
country-club-of-petersburg,Country Club of Petersburg,VA,Petersburg
willowbrook-country-club-2,Willowbrook Country Club,VA,Breaks
winchester-country-club-3,Winchester Country Club,VA,Winchester
thorn-spring-golf-course,Thorn Spring Golf Course,VA,Pulaski
sewells-point-golf-course,Sewells Point Golf Course,VA,Norfolk
top-golf,Top Golf,VA,Virginia Beach
cedar-point-country-club,Cedar Point Country Club,VA,Suffolk
pendleton-golf-club,Pendleton Golf Club,VA,Ruther Glen
lynch-links-golf-course-of-emory-henry-college,Lynch Links Golf Course of Emory & Henry College,VA,Meadowview
castle-rock-golf-recreation,Castle Rock Golf & Recreation,VA,Pembroke
dan-hall-mountain-golf-course,Dan Hall Mountain Golf Course,VA,Coeburn
auburn-hills,Auburn Hills,VA,Riner
shenvalee-creek-course,Shenvalee Creek Course,VA,New Market
prince-george-golf-course,Prince George Golf Course,VA,Disputanta
amelia-golf-country-club,Amelia Golf & Country Club,VA,Amelia Court House
meadows-farms-golf-course,Meadows Farms Golf Course,VA,Locust Grove
heronwood,Heronwood,VA,Upperville
nottoway-river-country-club,Nottoway River Country Club,VA,Blackstone
ole-monterey-golf-club,Ole Monterey Golf Club,VA,Roanoke
bedford-country-club,Bedford Country Club,VA,Bedford
brickshire-golf-club,Brickshire Golf Club,VA,Providence Forge
quinton-oaks,Quinton Oaks,VA,Callao
loch-lowman-golf-course,Loch Lowman Golf Course,VA,Radford
salem-golf-course,Salem Golf Course,VA,Salem
herndon-centennial-golf-course,Herndon Centennial Golf Course,VA,Herndon
