name,state,city
Virginia Tech Golf Course,VA,Blacksburg
Algonkian Regional Park Golf Course,VA,Sterling
Army Navy Country Club,VA,Arlington
Four Winds Golf Course,VA,Rappahannock Academy
Meadowbrook Country Club,VA,Richmond
1757 Golf Club,VA,Dulles
Roanoke Country Club,VA,Roanoke
The Woodlands Golf Course,VA,Hampton
The Hamptons Golf Course,VA,Hampton
Oakmont Golf Course,VA,Oakton
Forest Greens Golf Course,VA,Triangle
Augustine Golf Course,VA,Stafford
Pohick Bay Golf Course,VA,Lorton
Jefferson District Golf Course,VA,Falls Church
Bristow Manor Golf Club,VA,Bristow
Bull Run Golf Course,VA,Haymarket
South Riding Golf Course,VA,Chantilly
Poplar Forest Golf Course,VA,Forest
Westwood Country Club,VA,Vienna
Pleasant Valley Golfers' Club,VA,Chantilly
Suffolk Golf Course,VA,Suffolk
Spotswood Country Club,VA,Harrisonburg
Longwood Golf Course,VA,Farmville
Old Hickory Golf Club,VA,Woodbridge
Westpark Golf Club,VA,Leesburg
Creighton Farms Golf Club,VA,Aldie
International Country Club,VA,Fairfax
Spring Creek Golf Club,VA,Gordonsville
Oakmont Driving Range,VA,Oakton
The Manor Golf Club,VA,Farmville
Trump National Golf Club,VA,Sterling
Rock Harbor Golf Courses (Boulder Course & Rock Course),VA,Winchester
Willow Oaks Country Club,VA,Richmond
Kingsmill Resort: The Woods Course,VA,Williamsburg
Newport News Golf Club at Deer Run,VA,Yorktown
James River Country Club,VA,Newport News
Farmville Municipal Golf Course,VA,Farmville
The Country Club of Virginia - James River,VA,Richmond
Wytheville Golf Club,VA,Wytheville
Bide-A-Wee Golf Course,VA,Portsmouth
Gloucester Golf Club,VA,Gloucester
Golden Horseshoe Golf Club Green Course,VA,Williamsburg
Kiskiack Golf Course,VA,Williamsburg
Peninsula Golf Club,VA,Hampton
Red Wing Lake Golf Course,VA,Virginia Beach
Glen Oak Golf Club,VA,Danville
Goodyear Golf Club,VA,Danville
Topgolf,VA,Ashburn
Packsaddle Ridge Golf Club,VA,Keezletown
London Downs Golf Club,VA,Forest
Colonial Hills Golf Club,VA,Forest
Stoneleigh Golf and Country Club,VA,Round Hill
JMU Practice Golf,VA,Harrisonburg
Fincastle Golf Course,VA,Bluefield
The Hollows Golf Club,VA,Montpelier
Viniterra Golf Course,VA,New Kent
5 Hole Golf Course,VA,Norfolk
Eagle Haven Golf Course,VA,Norfolk
Boonsboro Country Club,VA,Lynchburg
The Gauntlet Golf Club,VA,Fredericksburg
Massanutten Resort Golf Club,VA,Massanutten
Ballyhack Golf Club,VA,Roanoke
The Crossings Golf Club,VA,Glen Allen
Queenfield Golf Club,VA,Manquin
Eastern Shore Yacht and Country Club Golf Course,VA,Melfa
Old Course,VA,Hot Springs
The Foundry Golf Club,VA,Powhatan
South Riding Golf CLub,VA,Chantilly
Cedar Hill Country Club,VA,Jonesville
Mecklenburg Country Club,VA,Chase City
Belmont Golf Course & Recreation Center,VA,Richmond
Hanover Golf Club,VA,Ashland
Lunenburg Country Club,VA,Kenbridge
Country Club of Petersburg,VA,Petersburg
Willowbrook Country Club,VA,Breaks
Winchester Country Club,VA,Winchester
Thorn Spring Golf Course,VA,Pulaski
