"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Blue Hills Golf Club","VA","Roanoke, VA","Red","70.1","120","","","6453","4 3 4 3 4 5 4 4 4 4 3 4 5 5 3 4 3 5","3 9 7 13 1 15 11 5 17 14 6 2 10 12 8 4 18 16"
"Blue Hills Golf Club","VA","Roanoke, VA","Black","67.7","116","73.5","125","6003","4 3 4 3 4 5 4 4 4 4 3 4 5 5 3 4 3 5","3 9 7 13 1 15 11 5 17 14 6 2 10 12 8 4 18 16"
"Blue Hills Golf Club","VA","Roanoke, VA","Green","65","110","70.4","118","5411","4 3 4 3 4 5 4 4 4 4 3 4 5 5 3 4 3 5","3 9 7 13 1 15 11 5 17 14 6 2 10 12 8 4 18 16"
"Blue Hills Golf Club","VA","Roanoke, VA","Blue","63","104","67.9","113","4959","4 3 4 3 4 5 4 4 4 4 3 4 5 5 3 4 3 5","3 9 7 13 1 15 11 5 17 14 6 2 10 12 8 4 18 16"
"Springfield Country Club","VA","Springfield, VA","Gold","71.4","131","","","6583","4 5 4 3 4 3 4 4 4 4 3 4 3 5 5 4 4 4","4 14 8 16 10 18 2 12 6 1 15 5 17 11 9 3 13 7"
"Springfield Country Club","VA","Springfield, VA","Blue","69.9","127","","","6255","4 5 4 3 4 3 4 4 4 4 3 4 3 5 5 4 4 4","4 14 8 16 10 18 2 12 6 1 15 5 17 11 9 3 13 7"
"Springfield Country Club","VA","Springfield, VA","White","68.7","124","74.7","133","6015","4 5 4 3 4 3 4 4 4 4 3 4 3 5 5 4 4 4","4 14 8 16 10 18 2 12 6 1 15 5 17 11 9 3 13 7"
"Springfield Country Club","VA","Springfield, VA","Green","66","115","71.7","123","5509","4 5 4 3 4 3 4 4 4 4 3 4 3 5 5 4 4 4","4 14 8 16 10 18 2 12 6 1 15 5 17 11 9 3 13 7"
"Springfield Country Club","VA","Springfield, VA","Red","","","72.9","127","5690","4 5 4 3 4 3 4 4 4 4 3 4 3 5 5 4 4 4","4 14 8 16 10 18 2 12 6 1 15 5 17 11 9 3 13 7"
"Four Winds Golf Course","VA","VA","White","68.5","113","","","6230","5 4 4 3 4 4 5 3 4 5 5 3 5 3 4 3 4 4","3 1 13 15 17 7 5 11 9 4 2 14 6 10 8 16 18 12"
"Four Winds Golf Course","VA","VA","Gold","66.6","108","","","5807","5 4 4 3 4 4 5 3 4 5 5 3 5 3 4 3 4 4","3 1 13 15 17 7 5 11 9 4 2 14 6 10 8 16 18 12"
"Four Winds Golf Course","VA","VA","Red","63.3","100","67.7","107","5049","5 4 4 3 4 4 5 3 4 5 5 3 5 3 4 3 4 4","3 1 13 15 17 7 5 11 9 4 2 14 6 10 8 16 18 12"
"Meadowbrook Country Club","VA","VA","Black","72.3","133","","","6596","4 3 4 5 4 5 4 4 3 4 4 4 3 4 5 4 3 4","11 15 7 13 9 3 1 5 17 4 10 12 16 2 14 6 18 8"
"Meadowbrook Country Club","VA","VA","White","70.4","128","","","6187","4 3 4 5 4 5 4 4 3 4 4 4 3 4 5 4 3 4","11 15 7 13 9 3 1 5 17 4 10 12 16 2 14 6 18 8"
"Meadowbrook Country Club","VA","VA","Gold","68.2","124","","","5723","4 3 4 5 4 5 4 4 3 4 4 4 3 4 5 4 3 4","11 15 7 13 9 3 1 5 17 4 10 12 16 2 14 6 18 8"
"Meadowbrook Country Club","VA","VA","Red","70.9","121","","","5242","4 3 4 5 4 5 4 4 3 4 4 4 3 4 5 4 3 4","11 15 7 13 9 3 1 5 17 4 10 12 16 2 14 6 18 8"
"Meadowbrook Country Club","VA","VA","Green","69.4","118","","","4976","4 3 4 5 4 5 4 4 3 4 4 4 3 4 5 4 3 4","11 15 7 13 9 3 1 5 17 4 10 12 16 2 14 6 18 8"
"Elizabeth Manor Golf & Country Club","VA","Portsmouth, VA","Black","72.4","128","","","6462","4 4 5 4 4 3 4 4 3 4 3 4 4 4 4 3 4 5","9 11 1 3 7 17 13 5 15 12 16 14 18 6 2 8 4 10"
"Elizabeth Manor Golf & Country Club","VA","Portsmouth, VA","Green","70.5","125","","","6059","4 4 5 4 4 3 4 4 3 4 3 4 4 4 4 3 4 5","9 11 1 3 7 17 13 5 15 12 16 14 18 6 2 8 4 10"
"Elizabeth Manor Golf & Country Club","VA","Portsmouth, VA","Gold","67.6","120","73.6","132","5763","4 4 5 4 4 3 4 4 3 4 3 4 4 4 4 3 4 5","9 11 1 3 7 17 13 5 15 12 16 14 18 6 2 8 4 10"
"Elizabeth Manor Golf & Country Club","VA","Portsmouth, VA","White","63.6","110","67.6","120","4511","4 4 5 4 4 3 4 4 3 4 3 4 4 4 4 3 4 5","9 11 1 3 7 17 13 5 15 12 16 14 18 6 2 8 4 10"
"Elizabeth Manor Golf & Country Club","VA","Portsmouth, VA","Burgundy","","","72.3","129","5340","4 4 5 4 4 3 4 4 3 4 3 4 4 4 4 3 4 5","9 11 1 3 7 17 13 5 15 12 16 14 18 6 2 8 4 10"
"1757 Golf Club","VA","VA","Black","71.8","142","","","6623","4 4 3 4 4 4 3 4 5 5 4 4 4 3 5 3 4 3","3 11 17 13 1 5 7 9 15 8 10 16 2 18 4 12 6 14"
"1757 Golf Club","VA","VA","Blue","69.3","135","","","6105","4 4 3 4 4 4 3 4 5 5 4 4 4 3 5 3 4 3","3 11 17 13 1 5 7 9 15 8 10 16 2 18 4 12 6 14"
"1757 Golf Club","VA","VA","White","66.7","130","72.2","134","5530","4 4 3 4 4 4 3 4 5 5 4 4 4 3 5 3 4 3","3 11 17 13 1 5 7 9 15 8 10 16 2 18 4 12 6 14"
"1757 Golf Club","VA","VA","Red","","","67","118","4613","4 4 3 4 4 4 3 4 5 5 4 4 4 3 5 3 4 3","3 11 17 13 1 5 7 9 15 8 10 16 2 18 4 12 6 14"
