name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
Augustine Golf Course,VA,Stafford,Black,73.2,140,,,6725,,11 3 9 1 7 13 5 17 15 4 10 2 6 16 14 12 18 8
Augustine Golf Course,VA,Stafford,Blue,71.4,137,,,6309,,11 3 9 1 7 13 5 17 15 4 10 2 6 16 14 12 18 8
Augustine Golf Course,VA,Stafford,White,69.4,132,75.0,136,5871,,11 3 9 1 7 13 5 17 15 4 10 2 6 16 14 12 18 8
Augustine Golf Course,VA,Stafford,Gold,67.2,132,72.3,136,5417,,11 3 9 1 7 13 5 17 15 4 10 2 6 16 14 12 18 8
Augustine Golf Course,VA,Stafford,Red,64.8,132,69.5,136,4892,,11 3 9 1 7 13 5 17 15 4 10 2 6 16 14 12 18 8
Pohick Bay Golf Course,VA,Lorton,Blue,73.0,132,,,6405,4 3 5 4 3 5 4 4 4 4 3 4 5 4 3 4 4 5,7 11 3 1 5 17 9 15 13 10 12 2 4 6 16 8 14 18
Pohick Bay Golf Course,VA,Lorton,White,69.7,127,74.2,131,5897,4 3 5 4 3 5 4 4 4 4 3 4 5 4 3 4 4 5,7 11 3 1 5 17 9 15 13 10 12 2 4 6 16 8 14 18
Pohick Bay Golf Course,VA,Lorton,Gold,65.7,113,68.9,121,4948,4 3 5 4 3 5 4 4 4 4 3 4 5 4 3 4 4 5,7 11 3 1 5 17 9 15 13 10 12 2 4 6 16 8 14 18
Westpark Golf Club,VA,Leesburg,Blue,70.5,125,,,6430,,9 1 11 3 13 15 5 17 7 16 6 4 2 8 12 18 14 10
Providence Golf Club,VA,Richmond,Gold,71.2,134,,,6529,4 3 4 4 5 3 4 5 3 4 3 5 4 4 4 4 3 5,5 13 1 15 11 17 9 7 3 18 10 2 12 8 6 4 16 14
Providence Golf Club,VA,Richmond,Blue,69.1,129,75.3,138,6137,4 3 4 4 5 3 4 5 3 4 3 5 4 4 4 4 3 5,5 13 1 15 11 17 9 7 3 18 10 2 12 8 6 4 16 14
Providence Golf Club,VA,Richmond,White,66.1,122,71.6,130,5594,4 3 4 4 5 3 4 5 3 4 3 5 4 4 4 4 3 5,5 13 1 15 11 17 9 7 3 18 10 2 12 8 6 4 16 14
