"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Lansdowne Resort the Robert Trent Jones Ii Course","VA","Leesburg","Gold","75","140","","","7063","4 4 4 3 5 4 3 5 4 4 5 4 3 4 4 5 3 4","14 2 12 8 10 4 18 16 6 15 13 5 11 1 7 17 9 3"
"Lansdowne Resort the Robert Trent Jones Ii Course","VA","Leesburg","Blue","72.8","135","78.9","147","6560","4 4 4 3 5 4 3 5 4 4 5 4 3 4 4 5 3 4","14 2 12 8 10 4 18 16 6 15 13 5 11 1 7 17 9 3"
"Lansdowne Resort the Robert Trent Jones Ii Course","VA","Leesburg","Blue/White","71.2","131","77.1","144","6239","4 4 4 3 5 4 3 5 4 4 5 4 3 4 4 5 3 4","14 2 12 8 10 4 18 16 6 15 13 5 11 1 7 17 9 3"
"Lansdowne Resort the Robert Trent Jones Ii Course","VA","Leesburg","White","70","126","75.5","140","5958","4 4 4 3 5 4 3 5 4 4 5 4 3 4 4 5 3 4","14 2 12 8 10 4 18 16 6 15 13 5 11 1 7 17 9 3"
"Lansdowne Resort the Robert Trent Jones Ii Course","VA","Leesburg","White/Green","67.9","121","72.9","135","5488","4 4 4 3 5 4 3 5 4 4 5 4 3 4 4 5 3 4","14 2 12 8 10 4 18 16 6 15 13 5 11 1 7 17 9 3"
"Lansdowne Resort the Robert Trent Jones Ii Course","VA","Leesburg","Green","66.4","117","71","131","5165","4 4 4 3 5 4 3 5 4 4 5 4 3 4 4 5 3 4","14 2 12 8 10 4 18 16 6 15 13 5 11 1 7 17 9 3"
"The Federal Club","VA","Glen Allen","Black","74.5","146","","","7051","4 3 4 4 3 4 5 4 5 5 3 4 5 3 4 5 3 4","3 15 9 7 11 1 5 17 13 8 18 4 16 14 12 2 6 10"
"The Federal Club","VA","Glen Allen","Black/Blue","73.5","144","","","6824","4 3 4 4 3 4 5 4 5 5 3 4 5 3 4 5 3 4","3 15 9 7 11 1 5 17 13 8 18 4 16 14 12 2 6 10"
"The Federal Club","VA","Glen Allen","Blue","72.1","141","78.7","145","6523","4 3 4 4 3 4 5 4 5 5 3 4 5 3 4 5 3 4","3 15 9 7 11 1 5 17 13 8 18 4 16 14 12 2 6 10"
"The Federal Club","VA","Glen Allen","Blue/White","71.1","138","77.5","142","6301","4 3 4 4 3 4 5 4 5 5 3 4 5 3 4 5 3 4","3 15 9 7 11 1 5 17 13 8 18 4 16 14 12 2 6 10"
"The Federal Club","VA","Glen Allen","White","70.2","132","76.2","140","6070","4 3 4 4 3 4 5 4 5 5 3 4 5 3 4 5 3 4","3 15 9 7 11 1 5 17 13 8 18 4 16 14 12 2 6 10"
"The Federal Club","VA","Glen Allen","White/Gold","68.7","131","74.7","136","5806","4 3 4 4 3 4 5 4 5 5 3 4 5 3 4 5 3 4","3 15 9 7 11 1 5 17 13 8 18 4 16 14 12 2 6 10"
"The Federal Club","VA","Glen Allen","Gold","67.5","126","73.1","134","5528","4 3 4 4 3 4 5 4 5 5 3 4 5 3 4 5 3 4","3 15 9 7 11 1 5 17 13 8 18 4 16 14 12 2 6 10"
"The Federal Club","VA","Glen Allen","Gold/Red","66.1","121","71.4","132","5271","4 3 4 4 3 4 5 4 5 5 3 4 5 3 4 5 3 4","3 15 9 7 11 1 5 17 13 8 18 4 16 14 12 2 6 10"
"The Federal Club","VA","Glen Allen","Red","64.2","114","69.3","123","4839","4 3 4 4 3 4 5 4 5 5 3 4 5 3 4 5 3 4","3 15 9 7 11 1 5 17 13 8 18 4 16 14 12 2 6 10"
