id,name,state,reason
army-navy-country-club-2,Army Navy Country Club,VA,junk (range/practice/mini-golf/placeholder/dup) — not a mappable golf course
burke-lake-golf,Burke Lake Golf,VA,junk (range/practice/mini-golf/placeholder/dup) — not a mappable golf course
cardinal-golf-course-2,Cardinal Golf Course,VA,junk (range/practice/mini-golf/placeholder/dup) — not a mappable golf course
country-club,Country Club,VA,junk (range/practice/mini-golf/placeholder/dup) — not a mappable golf course
driving-range-3,Driving Range,VA,junk (range/practice/mini-golf/placeholder/dup) — not a mappable golf course
elson-redmond-memorial-driving-range,Elson Redmond Memorial Driving Range,VA,junk (range/practice/mini-golf/placeholder/dup) — not a mappable golf course
four-seasons-golf-center,Four Seasons Golf Center,VA,junk (range/practice/mini-golf/placeholder/dup) — not a mappable golf course
jmu-practice-golf,JMU Practice Golf,VA,junk (range/practice/mini-golf/placeholder/dup) — not a mappable golf course
lynch-links-golf-course-of-emory-henry-college,Lynch Links Golf Course of Emory & Henry College,VA,junk (range/practice/mini-golf/placeholder/dup) — not a mappable golf course
new-post-golf-driving-range,New Post Golf Driving Range,VA,junk (range/practice/mini-golf/placeholder/dup) — not a mappable golf course
oakmont-driving-range,Oakmont Driving Range,VA,junk (range/practice/mini-golf/placeholder/dup) — not a mappable golf course
oakmont-golf-course,Oakmont Golf Course,VA,junk (range/practice/mini-golf/placeholder/dup) — not a mappable golf course
putt-putt-fun-center,Putt-Putt Fun Center,VA,junk (range/practice/mini-golf/placeholder/dup) — not a mappable golf course
top-golf,Top Golf,VA,junk (range/practice/mini-golf/placeholder/dup) — not a mappable golf course
topgolf,Topgolf,VA,junk (range/practice/mini-golf/placeholder/dup) — not a mappable golf course
virginia-golf-center,Virginia Golf Center,VA,junk (range/practice/mini-golf/placeholder/dup) — not a mappable golf course
windy-hill-sports-complex,Windy Hill Sports Complex,VA,junk (range/practice/mini-golf/placeholder/dup) — not a mappable golf course
5-hole-golf-course,5 Hole Golf Course,VA,combo — component of wired Shenvalee three-nine / short course; remove
shenvalee-creek-course,Shenvalee Creek Course,VA,combo — component of wired Shenvalee three-nine / short course; remove
shenvalee-miller-course,Shenvalee Miller Course,VA,combo — component of wired Shenvalee three-nine / short course; remove
heronwood,Heronwood,VA,"remove — no rating/par/SI in OGA, GolfPass, or OSM; no data source found"
