"name","city","verified","reason"
"Route 56 Golf Course","WV","","OGA data failed sanity gate"
"Alpine Lake Resort Golf Course","WV","","our rating<55 (9-hole); delta 35 (wrong-course?); OGA data failed sanity gate"
"Elks Golf Course","WV","","OGA rating<55; delta 35 (wrong-course?); OGA data failed sanity gate"
"Polish Pines Country Club Golf Course","WV","","our rating<55 (9-hole); OGA rating<55; OGA data failed sanity gate"
"Paradise Lake Golf Course","WV","","OGA rating<55; delta 31 (wrong-course?); OGA data failed sanity gate"
"Brooke Hills Park Golf Course","WV","","OGA data failed sanity gate"
"Oglebay Resort Speidel Golf Club Par 3 Course","WV","","OGA data failed sanity gate"
"Apple Valley Country Club Golf Course","WV","","our rating<55 (9-hole); OGA rating<55; OGA data failed sanity gate"
"Buckhannon Country Club Golf Course","Buckhannon, WV","","our rating<55 (9-hole); delta 25 (wrong-course?)"
"Lewisburg Elks Country Club","Lewisburg, WV","","OGA data failed sanity gate"
"Coonskin Golf Course","Charleston, WV","","OGA data failed sanity gate"
"Brier Patch Golf Links","Beckley, WV","","OGA data failed sanity gate"
"Pipestem Resort State Park Championship Course","WV","","OGA data failed sanity gate"
"Willow Wood Country Club","WV","","our rating<55 (9-hole); OGA rating<55; OGA data failed sanity gate"
"Glenville Golf Club","WV","","our rating<55 (9-hole); OGA rating<55; OGA data failed sanity gate"
"Cress Creek Country Club Golf Course","Shepherdstown, WV","","OGA data failed sanity gate"
"The Resort at Glade Springs Woodhaven Course","WV","","OGA data failed sanity gate"
"Preston Country Club Golf Course","Kingwood, WV","","OGA data failed sanity gate"
