"name","state","city","tee","rating","slope","women_rating","women_slope","yardage","pars","sis"
"Raven Golf Course","WV","WV","Black","75.5","142","","","7045","5 4 3 4 5 3 4 4 4 4 4 3 5 3 4 4 5 4","5 11 17 7 1 15 3 13 9 14 2 18 8 16 4 6 10 12"
"The Pines Country Club","WV","Morgantown, WV","Black","71.5","132","","","6697","4 5 3 4 4 4 4 4 3 4 4 3 5 4 4 5 3 4","4 2 14 8 6 10 12 16 18 11 3 15 5 13 17 9 7 1"
"The Pines Country Club","WV","Morgantown, WV","Blue","70.2","129","75","133","6360","4 5 3 4 4 4 4 4 3 4 4 3 5 4 4 5 3 4","4 2 14 8 6 10 12 16 18 11 3 15 5 13 17 9 7 1"
"The Pines Country Club","WV","Morgantown, WV","White","67.2","124","68.5","126","5679","4 5 3 4 4 4 4 4 3 4 4 3 5 4 4 5 3 4","4 2 14 8 6 10 12 16 18 11 3 15 5 13 17 9 7 1"
"The Pines Country Club","WV","Morgantown, WV","Green","64.2","113","69.8","120","5030","4 5 3 4 4 4 4 4 3 4 4 3 5 4 4 5 3 4","4 2 14 8 6 10 12 16 18 11 3 15 5 13 17 9 7 1"
"The Pines Country Club","WV","Morgantown, WV","Orange","62.5","96","63.8","98","3052","4 5 3 4 4 4 4 4 3 4 4 3 5 4 4 5 3 4","4 2 14 8 6 10 12 16 18 11 3 15 5 13 17 9 7 1"
"Bridgeport Country Club","WV","Bridgeport, WV","White","70","124","","","6296","5 4 3 5 3 4 4 3 5 5 4 4 3 4 4 3 4 5","2 10 16 14 6 4 12 18 8 1 5 11 7 3 13 17 15 9"
"Bridgeport Country Club","WV","Bridgeport, WV","Red","67.3","123","72.4","127","5567","5 4 3 5 3 4 4 3 5 5 4 4 3 4 4 3 4 5","2 10 16 14 6 4 12 18 8 1 5 11 7 3 13 17 15 9"
"Lakeview Golf Resort and Spa-Lakeview Course","WV","Morgantown, WV","Blue","71.6","138","","","6760","4 4 4 3 5 4 5 3 4 4 4 3 4 5 4 3 4 5","13 7 3 11 9 1 5 17 15 8 12 16 10 6 4 18 14 2"
"Lakeview Golf Resort and Spa-Lakeview Course","WV","Morgantown, WV","White","69.6","122","","","6357","4 4 4 3 5 4 5 3 4 4 4 3 4 5 4 3 4 5","13 7 3 11 9 1 5 17 15 8 12 16 10 6 4 18 14 2"
"Lakeview Golf Resort and Spa-Lakeview Course","WV","Morgantown, WV","Gold","66.7","120","","","5752","4 4 4 3 5 4 5 3 4 4 4 3 4 5 4 3 4 5","13 7 3 11 9 1 5 17 15 8 12 16 10 6 4 18 14 2"
"Lakeview Golf Resort and Spa-Lakeview Course","WV","Morgantown, WV","Red","","","70.8","118","5432","4 4 4 3 5 4 5 3 4 4 4 3 4 5 4 3 4 5","13 7 3 11 9 1 5 17 15 8 12 16 10 6 4 18 14 2"
"Highland Springs Golf Course","WV","Wellsburg, WV","Blue/Long","71.8","116","","","6853","4 4 4 4 3 5 4 3 4 5 4 4 5 3 4 4 3 5","9 8 14 4 12 13 5 10 1 17 7 6 15 2 18 3 16 11"
"Highland Springs Golf Course","WV","Wellsburg, WV","White/Regular","69.4","111","","","6332","4 4 4 4 3 5 4 3 4 5 4 4 5 3 4 4 3 5","9 8 14 4 12 13 5 10 1 17 7 6 15 2 18 3 16 11"
"Highland Springs Golf Course","WV","Wellsburg, WV","Red/Regular","","","71.9","114","5737","4 4 4 4 3 5 4 3 4 5 4 4 5 3 4 4 3 5","9 8 14 4 12 13 5 10 1 17 7 6 15 2 18 3 16 11"
"Williams Country Club Golf Course","WV","Weirton, WV","Blue","72.5","133","","","6627","4 4 5 5 4 3 4 3 4 4 4 3 4 5 4 4 4 4","3 13 7 9 15 5 11 17 1 10 4 12 6 16 14 2 18 8"
"Williams Country Club Golf Course","WV","Weirton, WV","White","71","132","","","6292","4 4 5 5 4 3 4 3 4 4 4 3 4 5 4 4 4 4","3 13 7 9 15 5 11 17 1 10 4 12 6 16 14 2 18 8"
"Williams Country Club Golf Course","WV","Weirton, WV","Gold","69.1","130","","","5821","4 4 5 5 4 3 4 3 4 4 4 3 4 5 4 4 4 4","3 13 7 9 15 5 11 17 1 10 4 12 6 16 14 2 18 8"
"Williams Country Club Golf Course","WV","Weirton, WV","Red","","","72","123","5391","4 4 5 5 4 3 4 3 4 4 4 3 4 5 4 4 4 4","3 13 7 9 15 5 11 17 1 10 4 12 6 16 14 2 18 8"
"Moundsville Country Club","WV","Moundsville, WV","Blue","71.1","132","","","6341","4 5 4 4 3 4 4 3 5 4 3 4 4 3 5 4 4 3","8 4 6 2 18 10 12 14 16 7 17 13 3 11 1 5 9 15"
"Moundsville Country Club","WV","Moundsville, WV","White","68.8","131","","","6013","4 5 4 4 3 4 4 3 5 4 3 4 4 3 5 4 4 3","8 4 6 2 18 10 12 14 16 7 17 13 3 11 1 5 9 15"
"Moundsville Country Club","WV","Moundsville, WV","Gold","66.7","122","","","5532","4 5 4 4 3 4 4 3 5 4 3 4 4 3 5 4 4 3","8 4 6 2 18 10 12 14 16 7 17 13 3 11 1 5 9 15"
"Moundsville Country Club","WV","Moundsville, WV","Red","","","71.3","123","5284","4 5 4 4 3 4 4 3 5 4 3 4 4 3 5 4 4 3","8 4 6 2 18 10 12 14 16 7 17 13 3 11 1 5 9 15"
"Wheeling Country Club Golf Course","WV","Wheeling, WV","Blue","69.6","126","","","6044","5 4 3 4 4 3 5 4 3 4 4 3 5 4 4 3 4 4","9 13 11 7 3 17 5 1 15 10 4 12 2 18 14 16 6 8"
"Wheeling Country Club Golf Course","WV","Wheeling, WV","Gold","66.6","119","","","5307","5 4 3 4 4 3 5 4 3 4 4 3 5 4 4 3 4 4","9 13 11 7 3 17 5 1 15 10 4 12 2 18 14 16 6 8"
"Wheeling Country Club Golf Course","WV","Wheeling, WV","Red","","","71","118","5261","5 4 3 4 4 3 5 4 3 4 4 3 5 4 4 3 4 4","9 13 11 7 3 17 5 1 15 10 4 12 2 18 14 16 6 8"
"Clarksburg Country Club","WV","Clarksburg, WV","Blue","69.1","116","","","5974","5 5 5 5 4 4 4 4 4 4 4 4 3 3 3 3 3 3","11 15 5 1 7 13 17 9 3 4 16 12 2 8 6 10 14 18"
"Clarksburg Country Club","WV","Clarksburg, WV","White","67.5","113","72.2","114","5635","5 5 5 5 4 4 4 4 4 4 4 4 3 3 3 3 3 3","11 15 5 1 7 13 17 9 3 4 16 12 2 8 6 10 14 18"
"Clarksburg Country Club","WV","Clarksburg, WV","Red","63.5","104","67.3","105","4713","5 5 5 5 4 4 4 4 4 4 4 4 3 3 3 3 3 3","11 15 5 1 7 13 17 9 3 4 16 12 2 8 6 10 14 18"
"Clarksburg Country Club","WV","Clarksburg, WV","Silver","58.6","92","59.2","87","3144","5 5 5 5 4 4 4 4 4 4 4 4 3 3 3 3 3 3","11 15 5 1 7 13 17 9 3 4 16 12 2 8 6 10 14 18"
"The Arnold Palmer Signature Golf Course at Stonewall Resort","WV","Roanoke, WV","Palmer","75.4","143","","","7149","4 3 4 5 4 3 5 4 4 3 4 5 4 4 4 3 4 5","3 9 1 11 7 17 15 5 13 12 4 8 10 6 14 18 2 16"
"The Arnold Palmer Signature Golf Course at Stonewall Resort","WV","Roanoke, WV","Gold","73.2","141","","","6726","4 3 4 5 4 3 5 4 4 3 4 5 4 4 4 3 4 5","3 9 1 11 7 17 15 5 13 12 4 8 10 6 14 18 2 16"
"The Arnold Palmer Signature Golf Course at Stonewall Resort","WV","Roanoke, WV","Gold/Blue","71.5","137","","","6455","4 3 4 5 4 3 5 4 4 3 4 5 4 4 4 3 4 5","3 9 1 11 7 17 15 5 13 12 4 8 10 6 14 18 2 16"
"The Arnold Palmer Signature Golf Course at Stonewall Resort","WV","Roanoke, WV","Blue","70","131","","","6228","4 3 4 5 4 3 5 4 4 3 4 5 4 4 4 3 4 5","3 9 1 11 7 17 15 5 13 12 4 8 10 6 14 18 2 16"
"The Arnold Palmer Signature Golf Course at Stonewall Resort","WV","Roanoke, WV","Blue/White","69.1","127","","","6015","4 3 4 5 4 3 5 4 4 3 4 5 4 4 4 3 4 5","3 9 1 11 7 17 15 5 13 12 4 8 10 6 14 18 2 16"
"The Arnold Palmer Signature Golf Course at Stonewall Resort","WV","Roanoke, WV","White","68.3","122","74.5","134","5821","4 3 4 5 4 3 5 4 4 3 4 5 4 4 4 3 4 5","3 9 1 11 7 17 15 5 13 12 4 8 10 6 14 18 2 16"
"The Arnold Palmer Signature Golf Course at Stonewall Resort","WV","Roanoke, WV","Black","66.1","117","71.7","130","5297","4 3 4 5 4 3 5 4 4 3 4 5 4 4 4 3 4 5","3 9 1 11 7 17 15 5 13 12 4 8 10 6 14 18 2 16"
"The Arnold Palmer Signature Golf Course at Stonewall Resort","WV","Roanoke, WV","Red","64.6","115","69.6","127","4921","4 3 4 5 4 3 5 4 4 3 4 5 4 4 4 3 4 5","3 9 1 11 7 17 15 5 13 12 4 8 10 6 14 18 2 16"
"Mingo Bottom Golf Club","WV","Elizabeth, WV","Blue","72.2","126","","","6615","4 4 3 4 4 4 5 3 5 3 5 4 3 5 4 3 4 5","11 3 9 5 1 13 17 7 15 6 18 4 8 10 16 12 2 14"
"Mingo Bottom Golf Club","WV","Elizabeth, WV","White","70.8","121","","","6312","4 4 3 4 4 4 5 3 5 3 5 4 3 5 4 3 4 5","11 3 9 5 1 13 17 7 15 6 18 4 8 10 16 12 2 14"
