name,state,city,tee,rating,slope,women_rating,women_slope,yardage,pars,sis
"Highlands Golf Club",WV,"","Championship",73.6,141,,,6796,"5 3 4 4 3 5 4 3 4 4 4 5 4 4 4 4 3 4","12 18 10 8 16 2 6 4 14 1 17 13 3 15 7 9 11 5"
"Highlands Golf Club",WV,"","Mens",71.2,136,,,6258,"5 3 4 4 3 5 4 3 4 4 4 5 4 4 4 4 3 4","12 18 10 8 16 2 6 4 14 1 17 13 3 15 7 9 11 5"
"Highlands Golf Club",WV,"","Senior",68.2,131,,,5666,"5 3 4 4 3 5 4 3 4 4 4 5 4 4 4 4 3 4","12 18 10 8 16 2 6 4 14 1 17 13 3 15 7 9 11 5"
"Highlands Golf Club",WV,"","Ladies",,,68.2,122,4680,"5 3 4 4 3 5 4 3 4 4 4 5 4 4 4 4 3 4","12 18 10 8 16 2 6 4 14 1 17 13 3 15 7 9 11 5"
"Lakeview Golf Resort and Spa Lakeview Course",WV,"Morgantown","Blue",73,139,,,6760,"4 4 4 3 5 4 5 3 4 4 4 3 4 5 4 3 4 5","13 7 3 11 9 1 5 17 15 8 12 16 10 6 4 18 14 2"
"Lakeview Golf Resort and Spa Lakeview Course",WV,"Morgantown","White",71.1,135,,,6357,"4 4 4 3 5 4 5 3 4 4 4 3 4 5 4 3 4 5","13 7 3 11 9 1 5 17 15 8 12 16 10 6 4 18 14 2"
"Lakeview Golf Resort and Spa Lakeview Course",WV,"Morgantown","Gold",68.2,129,,,5752,"4 4 4 3 5 4 5 3 4 4 4 3 4 5 4 3 4 5","13 7 3 11 9 1 5 17 15 8 12 16 10 6 4 18 14 2"
"Lakeview Golf Resort and Spa Lakeview Course",WV,"Morgantown","Red",,,71.9,124,5432,"4 4 4 3 5 4 5 3 4 4 4 3 4 5 4 3 4 5","13 7 3 11 9 1 5 17 15 8 12 16 10 6 4 18 14 2"
"Mountaineer Woodview Golf Course",WV,"","Blue",68.3,114,,,6066,"4 4 5 4 4 3 5 3 4 5 4 4 4 3 4 4 3 5","2 10 6 4 16 14 12 18 8 11 9 3 5 15 7 1 17 13"
"Mountaineer Woodview Golf Course",WV,"","White",66.7,108,,,5703,"4 4 5 4 4 3 5 3 4 5 4 4 4 3 4 4 3 5","2 10 6 4 16 14 12 18 8 11 9 3 5 15 7 1 17 13"
"Mountaineer Woodview Golf Course",WV,"","Gold",65.2,105,,,5324,"4 4 5 4 4 3 5 3 4 5 4 4 4 3 4 4 3 5","2 10 6 4 16 14 12 18 8 11 9 3 5 15 7 1 17 13"
"Mountaineer Woodview Golf Course",WV,"","Red",,,68.9,109,5107,"4 4 5 4 4 3 5 3 4 5 4 4 4 3 4 4 3 5","2 10 6 4 16 14 12 18 8 11 9 3 5 15 7 1 17 13"
"Clarksburg Country Club",WV,"Clarksburg","White",67.7,115,,,5721,"4 3 5 3 4 4 3 4 4 4 3 4 5 4 4 5 4 3","11 15 5 1 7 13 17 9 3 4 16 12 2 8 6 10 14 18"
"Clarksburg Country Club",WV,"Clarksburg","Gold",65.4,109,,,5153,"4 3 5 3 4 4 3 4 4 4 3 4 5 4 4 5 4 3","11 15 5 1 7 13 17 9 3 4 16 12 2 8 6 10 14 18"
"Clarksburg Country Club",WV,"Clarksburg","Red",63.6,104,67.2,105,4735,"4 3 5 3 4 4 3 4 4 4 3 4 5 4 4 5 4 3","11 15 5 1 7 13 17 9 3 4 16 12 2 8 6 10 14 18"
"Golf Club of West Virginia",WV,"Waverly","Blue",69.4,119,,,6018,"5 3 4 5 3 4 3 4 5 4 4 3 5 4 4 3 4 3","1 11 5 13 15 17 7 9 3 6 2 16 10 8 4 14 12 18"
"Golf Club of West Virginia",WV,"Waverly","White",67,116,,,5568,"5 3 4 5 3 4 3 4 5 4 4 3 5 4 4 3 4 3","1 11 5 13 15 17 7 9 3 6 2 16 10 8 4 14 12 18"
"Golf Club of West Virginia",WV,"Waverly","Gold",65.6,112,,,5205,"5 3 4 5 3 4 3 4 5 4 4 3 5 4 4 3 4 3","1 11 5 13 15 17 7 9 3 6 2 16 10 8 4 14 12 18"
"Golf Club of West Virginia",WV,"Waverly","Red",,,68.4,110,4946,"5 3 4 5 3 4 3 4 5 4 4 3 5 4 4 3 4 3","1 11 5 13 15 17 7 9 3 6 2 16 10 8 4 14 12 18"
"Twin Falls Resort State Park Golf Course",WV,"Mullens","Blue",71.8,136,,,6382,"5 4 4 3 4 3 4 4 5 4 3 5 4 3 5 4 3 4","3 13 15 17 9 5 1 11 7 4 18 8 16 14 6 2 10 12"
"Twin Falls Resort State Park Golf Course",WV,"Mullens","White",69.1,128,,,5978,"5 4 4 3 4 3 4 4 5 4 3 5 4 3 5 4 3 4","3 13 15 17 9 5 1 11 7 4 18 8 16 14 6 2 10 12"
